Product Type,Current stock ID,Product name,Condition,Brand,Model Number,Serial,paper_cart,Category,size,metal,weight,partners,Warehouse,unit,Vendor Doc Number,Supplier,dop,tags,Product Cost,Cost Code,Sale Price,MSRP,Quantity,Gallery Images,Thumbnail image,description,external_link,google_link,published,featured,Age,Dia Ct Wt,Stone Count,Stone Size
Bangle,1574,1574,New,AM,SB RG 20,,No,Love,20cm,Rose Gold,35.40g,GCI,LA - Main,Per/Pc,GCI 20210505,Amori Jewellery Co. Ltd,5/5/2021,AM-SB RG 20-Love,2353,8565,2800,,1,,,Screw Bangle No Stone,,,1,0,,,,
Bangle,1473,1473,New,AM,SB RG4M 16,C00686,No,Love,16cm,Rose Gold,30.86g,GCI,LA - Main,Per/Pc,GCI 20200716,Amori Jewellery Co. Ltd,7/16/2020,AM-SB RG4M 16-Love,1796,6537.44,2800,10100,1,,,Screw Bangle 4 Diamond Mounting,,,1,0,2020,,,
Bangle,1632,1632,New,AM,SB WG 17,,No,Love,17cm,White Gold,31.30g,GCI,LA - Main,Per/Pc,GCI 20210611,Amori Jewellery Co. Ltd,6/11/2021,AM-SB WG 17-Love,2255,8208,2800,,1,,,Screw Bangle No Stone,,,1,0,,,,
Bangle,1571,1571,New,AM,SB WG 18,,No,Love,18cm,White Gold,32.50g,GCI,LA - Main,Per/Pc,GCI 20210505,Amori Jewellery Co. Ltd,5/5/2021,AM-SB WG 18-Love,2183,7946,2800,,1,,,Screw Bangle No Stone,,,1,0,,,,
Bangle,1738,1738,New,AM,SB WG 19,,No,Love,19cm,White Gold,33.40g,GCI,LA - Main,Per/Pc,GCI 20220223,Amori Jewellery Co. Ltd,2/23/2022,AM-SB WG 19-Love,2163,7873.32,2800,7400,1,,,Screw Bangle No Stone,,,1,0,2022,,,
Bangle,1316,1316,New,AM,SB WG 20,C00867,No,Love,20cm,White Gold,33.87g,GCI,LA - Main,Per/Pc,,Amori Jewellery Co. Ltd,11/26/2018,AM-SB WG 20-Love,1458,5307.12,2800,,1,,,Screw Bangle No Stone,,,1,0,,,,
Bangle,1485,1485,New,AM,SB WG4M 16,RE8723,No,Love,16cm,White Gold,30.30g,GCI,LA - Main,Per/Pc,GCI 20200827,Amori Jewellery Co. Ltd,8/27/2020,AM-SB WG4M 16-Love,1931,7028.84,2800,10800,1,,,Screw Bangle 4 Diamond Mounting,,,1,0,2020,,,
Bangle,1471,1471,New,AM,SB WG4M 17,C00686,No,Love,17cm,White Gold,31.64g,GCI,LA - Main,Per/Pc,GCI 20200716,Amori Jewellery Co. Ltd,7/16/2020,AM-SB WG4M 17-Love,1833,6672.12,2800,10800,1,,,Screw Bangle 4 Diamond Mounting,,,1,0,2020,,,
Bangle,1497,1497,New,AM,SB YG 18,CRD 213363,No,Love,18cm,Yellow Gold,35.63g,GCI,LA - Main,Per/Pc,GCI 20201015,Amori Jewellery Co. Ltd,10/15/2020,AM-SB YG 18-Love,2538,9238.32,2800,6550,1,,,Screw Bangle No Stone,,,1,0,2020,,,
Bangle,1470,1470,New,AM,SB YG4M 17,C00682,No,Love,17cm,Yellow Gold,32.84g,GCI,LA - Main,Per/Pc,GCI 20200716,Amori Jewellery Co. Ltd,7/16/2020,AM-SB YG4M 17-Love,1888,6872.32,2800,10100,1,,,Screw Bangle 4 Diamond Mounting,,,1,0,2020,,,
Bangle,1565,1565,New,AM,SBE YG 18,,No,Love,18cm,14K-Yellow Gold,37.00g,GCI,LA - Main,Per/Pc,,GCI Jewelry ,5/5/2021,AM-SBE YG 18-Love,2767.14,10072.39,2600,,1,,,Custom Screw Bangle with Diamond Enamel Eye,,,1,0,,,,
Bangle,1460,1460,New,AM,TPM RG 18,CAY628,No,Love,18cm,Rose Gold,19.55g,GCI,LA - Main,Per/Pc,GCI 2020062,Amori Jewellery Co. Ltd,6/22/2020,AM-TPM RG 18-Love,1266,4608.24,2600,24900,1,,,Thin Screw Bangle Pave Mounting,,,1,0,2020,,,
Bangle,1461,1461,New,AM,TPM WG 16,CAY624,No,Love,16cm,White Gold,17.84g,GCI,LA - Main,Per/Pc,GCI 2020062,Amori Jewellery Co. Ltd,6/22/2020,AM-TPM WG 16-Love,1187,4320.68,2600,26700,1,,,Thin Screw Bangle Pave Mounting,,,1,0,2020,,,
Bangle,1463,1463,New,AM,TPM WG 18,CAY629,No,Love,18cm,White Gold,19.23g,GCI,LA - Main,Per/Pc,GCI 2020062,Amori Jewellery Co. Ltd,6/22/2020,AM-TPM WG 18-Love,1249,4546.36,2600,26700,1,,,Thin Screw Bangle Pave Mounting,,,1,0,2020,,,
Bangle,1457,1457,New,AM,TPM YG 17,CAY027,No,Love,17cm,Yellow Gold,19.32g,GCI,LA - Main,Per/Pc,GCI 2020062,Amori Jewellery Co. Ltd,6/22/2020,AM-TPM YG 17-Love,1250,4550,2600,24900,1,,,Thin Screw Bangle Pave Mounting,,,1,0,2020,,,
Bangle,1458,1458,New,AM,TPM YG 18,CAY630,No,Love,18cm,Yellow Gold,19.65g,GCI,LA - Main,Per/Pc,GCI 2020062,Amori Jewellery Co. Ltd,6/22/2020,AM-TPM YG 18-Love,1271,4626.44,2600,24900,1,,,Thin Screw Bangle Pave Mounting,,,1,0,2020,,,
Bangle,1257,1257,New,AM,TSB RG 18,C00365,No,Love,18cm,Rose Gold,22.30g,GCI,LA - Main,Per/Pc,,,12/14/2017,AM-TSB RG 18-Love,1563,5689.32,2600,,1,,,Thin Screw Bangle No Stone,,,1,0,,,,
Bangle,1638,1638,New,AM,TSB WG 18,DSM1685,No,Love,18cm,White Gold,20.20g,GCI,LA - Main,Per/Pc,GCI 20210816,Amori Jewellery Co. Ltd,8/16/2021,AM-TSB WG 18-Love,1563,5689,2600,,1,,,Thin Screw Bangle No Stone,,,1,0,,,,
Bangle,1356,1356,New,AM,TSB WGFP 17,COO583,No,Love,17cm,White Gold,17.52g,GCI,LA - Main,Per/Pc,,Amori Jewellery Co. Ltd,3/23/2019,AM-TSB WGFP 17-Love,1953,7108.92,2600,,1,,,Thin Screw Full Pave Bangle,,,1,0,,,,
Bangle,1189,1189,New,AM,TSB-WG 17,DSM890,No,Love,17cm,White Gold,17.84g,GCI,LA - Main,Per/Pc,,Amori Jewellery Co. Ltd,3/24/2020,AM-TSB WG 17-Love,1563,5689.32,2600,,1,,,Thin Screw Bangle No Stone,,,1,0,,,,
